count,mean,std,min,25%,50%,75%,max
427.0,28622.166276346605,27424.064578446498,0.0,3937.0,18599.0,47450.0,97894.0
395.0,3827.118987341772,3419.468093008848,0.0,951.5,3307.0,5785.0,14518.0
407.0,4632.83538083538,3426.4337756108175,2.0,2132.5,2926.0,7120.5,14051.0
402.0,2116.726368159204,1700.1027223626177,0.0,595.25,2051.5,3576.5,6664.0
397.0,594.0906801007557,1047.8391000698261,0.0,64.0,317.0,679.0,8227.0
0.0,,,,,,,
405.0,2057.0493827160494,2393.3974376574015,-28.0,296.0,1080.0,3054.0,11934.0
426.0,8415.2558685446,9963.461027658579,-148.0,463.75,2996.5,15055.0,40902.0
386.0,101.65025906735751,155.3364156883174,0.0,5.0,47.0,113.75,878.0
434.0,1093.6382488479262,1425.0170909433082,0.0,92.0,594.0,1456.75,7863.0
0.0,,,,,,,
394.0,1552.225888324873,2276.6840138613566,-110.0,8.0,209.5,2337.75,9535.0
384.0,774.6666666666666,1147.1057225597492,0.0,192.75,683.0,1002.0,18757.0
384.0,349.109375,372.42714396511224,0.0,86.5,193.5,530.5,2008.0
402.0,577.3706467661691,358.32088940587596,0.0,300.25,587.5,776.5,1716.0
379.0,233.6094986807388,640.8774495224208,0.0,29.0,104.0,304.0,11505.0
373.0,0.13136729222520108,0.8207048548776823,0.0,0.0,0.0,0.0,14.0
395.0,259.14683544303796,358.43240016944503,0.0,4.0,25.0,508.0,1861.0
405.0,1156.5432098765432,1336.6003428362078,0.0,19.0,628.0,1888.0,6154.0
323.0,33.14551083591331,104.29869553966394,0.0,0.0,0.0,17.0,931.0
381.0,5.359580052493438,10.588193217572737,0.0,0.0,1.0,6.0,97.0
373.0,426.15817694369974,390.4634469542831,0.0,13.0,437.0,749.0,1639.0
393.0,6.793893129770993,11.958293312071296,0.0,0.0,1.0,7.0,62.0
397.0,544.3803526448363,848.7297870530925,0.0,11.0,53.0,771.0,3984.0
397.0,155.26952141057936,287.39247511117617,-1348.0,4.0,55.0,182.0,1967.0
0.0,,,,,,,
377.0,64.79045092838196,118.85314608416836,-7.0,0.0,13.0,79.0,1201.0
364.0,92.17307692307692,197.8066096224824,0.0,2.0,12.0,76.0,1316.0
432.0,799.7685185185185,1149.5835308144606,0.0,14.0,116.0,1269.75,5728.0
389.0,61.89974293059126,53.25974790924593,0.0,21.0,44.0,99.0,241.0
372.0,26.99462365591398,28.462297814706094,0.0,8.0,18.0,34.25,233.0
390.0,74.44358974358974,81.0369533748241,-42.0,5.25,46.5,121.0,510.0
155.0,0.025806451612903226,0.30039772546509136,-1.0,0.0,0.0,0.0,3.0
383.0,46.59791122715405,59.942207732756344,0.0,6.5,22.0,58.5,296.0
379.0,2.712401055408971,7.087445438521569,-2.0,0.0,0.0,1.5,62.0
398.0,5625.344221105528,4464.047682591174,0.0,2826.0,5237.5,6837.75,28115.0
70.0,0.014285714285714285,0.11952286093343939,0.0,0.0,0.0,0.0,1.0
389.0,591.879177377892,511.2693857926622,0.0,194.0,406.0,861.0,2273.0
397.0,5.763224181360202,8.303240068732794,-12.0,0.0,2.0,8.0,45.0
387.0,22.844961240310077,73.8460921834239,0.0,0.0,1.0,16.0,896.0
380.0,240.04736842105262,227.96579586149824,0.0,12.75,184.5,435.25,874.0
0.0,,,,,,,
395.0,1255.9417721518987,1456.1705407709062,0.0,143.0,536.0,2028.0,6195.0
375.0,180.21066666666667,265.10573189536836,0.0,19.5,80.0,174.5,1275.0
370.0,384.95675675675676,528.7631969512981,0.0,2.0,22.0,724.5,2158.0
383.0,115.24543080939948,131.8001713040215,0.0,3.0,74.0,176.0,683.0
432.0,641.9189814814815,951.7909948245585,-1.0,15.5,218.5,862.25,5743.0
399.0,3240.1152882205515,3321.6174772341233,0.0,274.0,1346.0,5698.0,13072.0
398.0,6.28391959798995,14.301090927845912,-2.0,0.0,2.0,5.0,89.0
378.0,17.664021164021165,62.663268565313615,0.0,0.0,0.0,0.0,480.0
377.0,13.26525198938992,22.136392655309848,-4.0,0.0,4.0,14.0,145.0
398.0,409.27386934673365,422.1308879003044,0.0,126.0,251.0,574.5,2464.0
400.0,325.055,371.1007293894522,0.0,58.5,153.5,455.75,1511.0
400.0,240.1975,268.80478702502484,0.0,28.75,135.0,378.5,1680.0
402.0,396.06467661691545,479.5010039239849,0.0,3.0,197.5,606.25,2685.0
401.0,1678.1321695760598,1485.0459790819718,0.0,583.0,1332.0,2458.0,12073.0
392.0,618.2474489795918,648.5374476199064,0.0,19.25,436.5,825.5,2516.0
387.0,917.4444444444445,852.0793091653247,0.0,415.0,708.0,1089.5,5186.0
